                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     65,                0.58165,                0.91658,                0.39171,                0.93924,                0.92574,                 0.9618,                0.97746,                0.86481,                0.92354,                0.96005,                0.97489,                0.88764,                0.44044,                0.51125,                0.33214,                0.86623,             0.00053773,             0.00053773,             0.00053773
                     66,                0.58303,                0.89513,                0.38725,                0.93544,                0.96193,                0.86357,                0.95502,                0.84759,                0.92673,                0.90872,                0.96334,                0.86936,                0.46462,                0.54075,                0.35095,                0.89174,             0.00052359,             0.00052359,             0.00052359
                     67,                 0.5872,                0.91687,                0.39134,                0.93844,                0.93504,                0.94417,                0.97632,                 0.8674,                0.93504,                0.94417,                0.97613,                0.87812,                0.45095,                 0.5385,                0.34649,                0.88145,             0.00050944,             0.00050944,             0.00050944
                     68,                0.57882,                0.91539,                0.38562,                 0.9344,                 0.9437,                0.91791,                0.97526,                 0.8599,                 0.9437,                0.91791,                0.97524,                0.88657,                0.44314,                0.52472,                0.34304,                0.87378,             0.00049529,             0.00049529,             0.00049529
                     69,                0.57843,                0.90985,                0.38317,                0.93492,                0.93813,                 0.9411,                0.97295,                 0.8657,                0.93989,                0.94283,                0.97301,                0.88566,                0.45592,                0.51955,                0.35636,                0.89307,             0.00048114,             0.00048114,             0.00048114
                     70,                0.57604,                0.90606,                0.38367,                0.93551,                0.92105,                0.94113,                0.97178,                0.85809,                 0.9228,                0.94286,                0.97386,                0.88724,                0.45583,                0.50692,                0.33215,                0.88876,               0.000467,               0.000467,               0.000467
                     71,                0.57814,                0.90302,                 0.3827,                0.93309,                0.96439,                0.90553,                0.97859,                0.87528,                0.91787,                 0.9533,                0.97875,                0.89479,                0.44384,                0.48712,                0.32649,                0.87715,             0.00045285,             0.00045285,             0.00045285
                     72,                0.57671,                0.88641,                0.37984,                0.93299,                0.95177,                0.93306,                0.97363,                0.87083,                 0.9598,                0.94099,                0.98147,                0.89442,                0.43348,                0.49422,                0.31744,                0.87743,              0.0004387,              0.0004387,              0.0004387
                     73,                0.56695,                0.88203,                0.37212,                0.92974,                 0.9865,                0.92347,                0.98434,                0.86848,                 0.9865,                0.92347,                0.98426,                0.90168,                0.43346,                0.48385,                0.31348,                0.86973,             0.00042456,             0.00042456,             0.00042456
                     74,                0.56511,                0.87765,                0.37198,                0.92878,                0.95276,                0.94532,                0.97925,                0.87357,                0.96077,                0.95325,                0.98482,                0.89295,                0.43906,                0.51367,                 0.3166,                0.87247,             0.00041041,             0.00041041,             0.00041041
                     75,                0.56683,                0.88201,                0.37638,                0.93183,                0.97049,                0.94466,                0.98377,                0.87109,                0.97049,                0.94466,                0.98359,                0.88959,                0.44669,                0.49998,                 0.3163,                0.89894,             0.00039626,             0.00039626,             0.00039626
                     76,                0.56398,                0.88071,                0.36819,                0.92666,                0.94828,                0.96523,                0.98654,                0.87709,                0.94828,                0.96523,                0.98649,                0.90158,                0.43819,                0.47943,                0.30579,                0.88184,             0.00038211,             0.00038211,             0.00038211
                     77,                0.56205,                0.87229,                0.36827,                0.92942,                0.98469,                0.92711,                 0.9852,                0.87115,                0.98469,                0.92711,                0.98509,                0.90123,                0.44772,                0.49044,                0.32137,                0.89555,             0.00036797,             0.00036797,             0.00036797
                     78,                 0.5592,                0.86621,                0.36597,                0.92859,                0.94595,                0.95386,                0.98209,                 0.8719,                0.94595,                0.95386,                 0.9821,                0.89227,                0.43913,                0.49724,                0.31035,                0.88876,             0.00035382,             0.00035382,             0.00035382
                     79,                0.56175,                0.86665,                0.36551,                0.92688,                0.98264,                0.93986,                0.98576,                0.87612,                0.98264,                0.93986,                0.98565,                0.90236,                0.43666,                0.48262,                0.30831,                0.88564,             0.00033967,             0.00033967,             0.00033967
                     80,                 0.5581,                 0.8671,                0.36724,                0.92889,                0.96022,                0.95468,                0.98652,                0.87651,                0.96022,                0.95468,                0.98638,                0.89784,                0.43864,                 0.5056,                0.31895,                0.88884,             0.00032553,             0.00032553,             0.00032553
                     81,                0.55293,                0.86448,                0.36126,                0.92779,                0.97102,                0.92642,                0.98411,                0.87526,                0.97102,                0.92642,                0.98357,                0.89324,                0.42358,                0.49267,                0.30359,                0.87244,             0.00031138,             0.00031138,             0.00031138
                     82,                0.55753,                0.85891,                0.36153,                0.92741,                0.93531,                0.95383,                0.97997,                0.87059,                0.93531,                0.95383,                0.98029,                0.88586,                0.43316,                0.53753,                0.31978,                0.88285,             0.00029723,             0.00029723,             0.00029723
                     83,                0.54889,                0.85073,                0.35986,                0.92342,                0.96265,                0.95375,                0.98371,                0.87855,                0.96265,                0.95375,                0.98354,                0.88921,                0.42614,                0.53749,                0.30132,                0.87999,             0.00028308,             0.00028308,             0.00028308
                     84,                 0.5486,                0.85772,                0.35927,                0.92086,                0.96201,                0.93369,                0.98279,                0.88255,                0.96201,                0.93369,                0.98311,                0.90042,                0.41788,                0.52002,                0.30448,                0.86855,             0.00026894,             0.00026894,             0.00026894
                     85,                 0.5387,                 0.8377,                0.35085,                 0.9217,                0.95652,                  0.946,                0.98318,                0.87698,                0.95652,                  0.946,                0.98312,                0.89863,                0.43895,                0.51722,                0.31424,                0.89889,             0.00025479,             0.00025479,             0.00025479
                     86,                0.53887,                0.82328,                0.34794,                0.92003,                0.94241,                0.95418,                0.98232,                0.87588,                0.94241,                0.95418,                0.98229,                0.90124,                 0.4292,                0.50947,                0.30804,                0.88342,             0.00024064,             0.00024064,             0.00024064
                     87,                0.54182,                 0.8447,                 0.3518,                0.92084,                0.93224,                0.97399,                0.98304,                0.87503,                0.93224,                0.97399,                0.98291,                0.89952,                0.41912,                0.47836,                0.30199,                0.86784,              0.0002265,              0.0002265,              0.0002265
                     88,                 0.5406,                 0.8375,                0.34654,                0.91697,                0.98633,                0.92503,                0.98344,                0.88066,                0.98633,                0.92503,                0.98388,                0.90092,                0.42643,                0.49463,                0.30784,                0.88157,             0.00021235,             0.00021235,             0.00021235
                     89,                0.53429,                0.82603,                0.34493,                0.91956,                0.97723,                0.92569,                 0.9826,                0.87947,                0.97723,                0.92569,                0.98254,                0.89391,                0.42996,                0.50174,                0.31198,                0.88489,              0.0001982,              0.0001982,              0.0001982
                     90,                0.53745,                0.82609,                0.34752,                0.91905,                0.97586,                0.95328,                0.98728,                0.88405,                0.97099,                0.95554,                0.98768,                0.90369,                0.41704,                0.47136,                0.29797,                0.86428,             0.00018406,             0.00018406,             0.00018406
                     91,                0.47091,                  0.763,                0.29429,                0.87824,                0.98209,                0.94519,                0.98509,                0.88017,                0.98209,                0.94519,                0.98496,                0.89424,                0.42655,                0.49626,                0.29911,                0.87807,             0.00016991,             0.00016991,             0.00016991
                     92,                 0.4666,                0.74418,                0.28919,                0.87643,                 0.9732,                0.93828,                0.98129,                0.88012,                0.97505,                   0.94,                 0.9814,                0.89585,                0.43302,                0.49076,                0.31421,                0.89232,             0.00015576,             0.00015576,             0.00015576
                     93,                0.45363,                0.72081,                0.28008,                0.87014,                0.95136,                0.95575,                0.98297,                0.88157,                0.95136,                0.95575,                0.98278,                0.90018,                0.42816,                0.49183,                0.31684,                0.88421,             0.00014161,             0.00014161,             0.00014161
                     94,                0.45475,                0.73177,                0.27909,                0.87143,                0.98074,                 0.9374,                0.98254,                0.87333,                0.98074,                 0.9374,                 0.9824,                0.89545,                0.44234,                0.49215,                0.32804,                0.88899,             0.00012747,             0.00012747,             0.00012747
                     95,                0.44999,                0.72119,                0.27628,                0.87139,                0.97841,                0.93559,                0.98251,                0.87754,                0.98023,                0.93732,                 0.9842,                0.89749,                0.42738,                0.48928,                0.31331,                0.88395,             0.00011332,             0.00011332,             0.00011332
                     96,                0.45008,                0.71429,                0.27728,                0.86977,                0.98108,                0.94243,                0.98276,                0.87565,                0.98108,                0.94243,                0.98273,                0.89782,                 0.4302,                0.48811,                 0.3028,                0.88844,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     97,                 0.4402,                0.69851,                  0.273,                0.86205,                0.95667,                 0.9547,                0.98423,                0.87734,                0.95667,                 0.9547,                0.98431,                0.89793,                0.42474,                0.49092,                 0.3054,                0.88865,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     98,                0.44331,                0.71051,                0.27342,                0.86518,                0.97945,                0.94988,                0.98579,                0.87987,                0.97945,                0.94988,                0.98651,                0.90016,                0.42534,                0.47503,                0.30329,                0.88706,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     99,                 0.4368,                0.70221,                0.26902,                0.86281,                0.97843,                0.94693,                0.98462,                0.87481,                0.98026,                0.94865,                0.98486,                0.89663,                0.42802,                0.48798,                0.30692,                0.89058,             5.6731e-05,             5.6731e-05,             5.6731e-05
                    100,                0.43088,                0.68859,                 0.2662,                0.86028,                0.96999,                0.95794,                0.98527,                0.87803,                0.96999,                0.95794,                0.98588,                0.89926,                0.42415,                0.48209,                0.30485,                0.88887,             4.2584e-05,             4.2584e-05,             4.2584e-05
